Strategy,Parameter,Down_%,Neutral_%,Up_%,MSE
Dynamic_ATR,0.9000000000000002,8.299421785311495,82.48670190381605,9.213876310872456,0.12081661920927456
Dynamic_Vol20,1.4000000000000006,7.774336357668288,83.68573989597185,8.539923746359857,0.1267780110666242
Dynamic_ATR,0.9500000000000003,7.469132425471746,84.3554842021984,8.17538337232986,0.13017130713759364
Dynamic_Vol20,1.4500000000000006,7.267662060026596,84.81534162640766,7.9169963135657415,0.13252688614395564
Dynamic_ATR,1.0000000000000004,6.70375544969448,86.05393724645243,7.242307303853081,0.13897793781652643
Dynamic_ATR,1.0500000000000003,6.013811503694851,87.56996229400575,6.416226202299392,0.14708329501071007
Dynamic_ATR,1.1000000000000005,5.409084787987947,88.91849866177387,5.672416550238188,0.15448668595645354
Dynamic_ATR,1.1500000000000004,4.865798643257529,90.109435756729,5.024765600013467,0.16117671149448484
Dynamic_ATR,1.2000000000000004,4.37606258521723,91.16486693487299,4.459070479909775,0.1672244287738102
Dynamic_ATR,1.2500000000000004,3.95081808541081,92.10320332620735,3.9459785883818403,0.1726948813393112
Dynamic_ATR,1.3000000000000005,3.5740737623512384,92.923708485532,3.502217752116754,0.17755072659375895
Dynamic_ATR,1.3500000000000005,3.2318371572373628,93.66078492433552,3.107377918427121,0.18197032894160436
Dynamic_ATR,1.4000000000000006,2.9230562054976685,94.30349117107411,2.7734526234282155,0.18586838035848063
Dynamic_ATR,1.4500000000000006,2.649940242732338,94.87676115609271,2.4732986011749456,0.18938019544658524
